,name,date,reviews,stars,lng,lat,cate1,cate2
0,공룡공원,2020-08,굿,3,128.603395,35.829925,자연적,테마공원
1,공룡공원,2020-08,굿,3,128.603395,35.829925,자연적,테마공원
2,국채보상운동기념공원,2020-08,좋아요,5,128.60275,35.869007,자연적,테마공원
3,국채보상운동기념공원,2020-06,주차장 이용했습니다아,5,128.60275,35.869007,자연적,테마공원
4,국채보상운동기념공원,2020-02,대구를 상징하는 좋아요,3,128.60275,35.869007,자연적,테마공원
5,국채보상운동기념공원,2020-11,굿,4,128.60275,35.869007,자연적,테마공원
6,국채보상운동기념공원,2020-10,좋아요,5,128.60275,35.869007,자연적,테마공원
7,국채보상운동기념공원,2020-09,갃싸고 컬리티 좋아용,5,128.60275,35.869007,자연적,테마공원
8,국채보상운동기념공원,2020-05,"도심 속 쉼터 차, 건물로 가득한 곳에 푸른 빛을 볼 수 있는 쉼터.
각종 행사, 집회도 많이 함.
연말에 루미나리에 설치하여 밤에 오면 예쁨.
나무, 벤치 많아 쉬기 좋음.",5,128.60275,35.869007,자연적,테마공원
9,국채보상운동기념공원,2019-08,"국채보상운동기념공원 대구광역시청 인근에 있는
국채보상운동기념공원이예요
1907년 국채보상운동은 대구에서 시작한
애국운동이예요

국채보상운동의 뜻을 광복절을 맞이하여
가보았어요",5,128.60275,35.869007,자연적,테마공원
10,국채보상운동기념공원,2018-11,대구의 중심 시내에 놀러갈때 지하주차장에 자주 대곤 하는데... 도심 한가운데 있으면서 이렇게 여유로운곳도 잘 없죠.. 밤에는 또 얼마나 이쁘게요~,5,128.60275,35.869007,자연적,테마공원
11,국채보상운동기념공원,2017-12,"12월31일에 대구에서 가장 붐비는 곳. 대구 시청 근처에 위치한 국채보상운동기념공원.
산책로도 있지만, 광장 같은 공간이 있어 여러 행사를 진행하기도 한다. 12월 31일의 타종 행사로 인해 아마 그날 대구에서 가장 붐비는 곳일듯.",4,128.60275,35.869007,자연적,테마공원
12,국채보상운동기념공원,2017-06,"2.28공원과 함께 더불어 좋은 산책길 대구의 자존심, 유네스코 등록까지 된 대한민국의 민족정신 따봉입니다요~ 대구만세, 대한민국 만만세",5,128.60275,35.869007,자연적,테마공원
