,name,date,reviews,stars,address,isforeigner
0,바라지레스트랑,2019년 9월,인도 현지음식을 먹고싶을때 가파른 계단을 올라가면 바라지 레스토랑이 나옵니다. 인도 현지에서 맛보는 인도음식의 느낌 그대로입니다. 꼭 한번 더 가보고 싶어요,5.0,대구 중구 동성로 73 2층,0
1,바라지레스트랑,2019년 1월,현지인 맛집 대구에는 인도커리 음식점이 점점 없어지고있는데\n방문하니 현지인분들이 하고계셨는데\n카레도 맛있고 라씨도맛있고 같이주는 양파무침이\n한국인 입맛에 딱맞고 너무좋았어요,5.0,대구 중구 동성로 73 2층,0
2,바라지레스트랑,2019년 3월,카레랑 난이 정말 맛있음 탄두리치킨은 생각보다 약간 짭짤한 편이고\n카레와 난이 정말 맛있음\n서비스도 친절하고\n다음엔 다른 음식도 먹어보고 싶을 정도로 추천함!!,5.0,대구 중구 동성로 73 2층,0
3,바라지레스트랑,2019년 1월,"네팔, 인도음식 네팔인이 운영하는 음식점.\n카트만두에 여행 갔을때의 그맛 그대로라 추억이 새록새록 떠올라 행복했어요.\n양고기 빈다로(양고기 카레)는 정말 맛있어요. 먹고 있으면 점점 매운맛이 올라와 몸이 더워집니다.\n야채 비르아니(야채 볶음밥)의 알랑미 씹히는 느낌을 좋아해서 꼭꼭 씹어먹으며ㆍ 정말 맛있어요.\n네팔,인도사람들이 손님의 70프로인것 같아요. 본토맛이라 현지인 손님들이 많은것 같습니다.\n짜에(밀크티)맛도 카트만두에서 아침마다 마시던 그맛입니다.\n좋았어요",5.0,대구 중구 동성로 73 2층,0
4,바라지레스트랑,2018년 1월,"괜찮아요. 네팔-인도 요리를 함께 취급하는 음식점입니다.\n저는 주로 카레와 난을 주문해서 먹었어요.\n3번 이상 가본 결과, 전반적으로 맛있는 편이지만 몇몇 취향타는 요리가 있으니 향신료에 예민하신 분들은 참고해주세요.",4.0,대구 중구 동성로 73 2층,0
5,바라지레스트랑,2017년 3월,제대로된 네팔/인도 식당 시내 교동 도깨비시장 맞은편2층에 위치해 있습니다.\n흉내만 내지않는 제대로된 인도/네팔 요리를 맛볼수 있어 좋습니다.\n맥주는 국산이지만 그외에는 제대로 현지식을 즐기수 있어 아주 좋았습니다.\n커리가루부터 인도쌀까지도 구매할수 있습니다.\n특히 갈릭난은 매우 쫄깃하여 타 음식점보다 확실히 좋았습니다.,4.0,대구 중구 동성로 73 2층,0
6,바라지레스트랑,2015년 12월,"외국인 친구가 데리고 간 인도 음식점 대구 시내에 위치해 있고 처음 가면 약간 길 찾기가 어려울수도 있어요. 가면 인도 현지 느낌이 물씬하며 손님도 인도쪽에서 온 분들 반, 한국인 반. 커리 맛은 좋으며 난도 괜찮음. 평타는 치는 맛이에요.",3.0,대구 중구 동성로 73 2층,0
7,바라지레스트랑,2016년 1월,위치 수정 선생님. 안녕하세요.\n다름이 아니고 지도위치가 맞지않는데...\n●●●●●●●\n현재 주소는 대구시 중구 동성로 1가 6-3 (2층) 입니다.\n자도상으로는 (구)송죽국장 바로 옆건물입나다.\n저는 바라지레스토랑의 매니져입니다.\n도움이 될지 모르겠지만 대표명함을 보낼께요.\n●●●●●●\n외국손님께서 Trip Advisor 를 정말 많이 사용하네예~~\n바쁘시겠지만 꼬옥 위치수정 부탁드랍니다. 선생님,5.0,대구 중구 동성로 73 2층,0
8,바라지레스트랑,2015년 11월,"대구에서 저렴하게 인도 음식을 맛보고 싶다면,, 대구에는 라마엔 바바나 혹은, 강가라는 인도 음식접에 수성못 근처에 위치하고 있습니다.\n그렇지만, 대부분 한국인의 입맛에 맞게끔 현지화 되어 있어서,, 인도 음식이라긴 보다는 그냥 무난한 맛을 자랑(?)하고 있습니다.\n\n그렇지만, 시내 중앙로에서 롯떼 백화점으로 가는 길에 2층에 위치한 바라지 레스토랑의 경우, 주인이 직접 써빙을 하고 있으며, 토속적인(?) 인도 음식을 맛 볼 수 있는 곳 입니다.\n\n또한 위에서 말한 2군데 음식점 보다 보다 저렴하게 난과 탄두리 치킨을 맛 볼 수 있으며,\n보다 인도(파키스탄)식에 가까운 맛을 느낄 수 있습니다.\n\n만약, 깨끗하고 조용한 분위기에서 접대를 위한 인도 음식을 원하신다면 강가에서,,\n연인끼리 특색있는 맛을 찾는다면 라마엔바바나에서,,\n가족끼리 친구끼리 편하게 인도 음식을 맛보고 싶다면 바라지 레스토랑을 추천합니다.",4.0,대구 중구 동성로 73 2층,0
9,바라지레스트랑,2015년 11월,카레?> 커리? 대구에 가끔식 나가면 카레를 먹고 싶을때 가는 집입니다.\n셀러드 싱싱하고 맛나구용\n새콤 달콤 저는 많이먹는 스타일은 아니지만 양은 적당 합니다. 저는 약간 많은 수준 ㅎㅎ,4.0,대구 중구 동성로 73 2층,0
