name,date,reviews,stars,category,address,lat,lng,foreigner
리버틴호텔, 2020년 10월,"작지만 무난하고 위치가 좋은 호텔대구 교동에 있는 호텔입니다. 규모는 사실 호텔이라 하기엔 좀 작은 편이지만, 객실도 넓고, 내부 시설도 깔끔한 편입니다.  대구 시내와 가까워서 식당이나 술집도 주변에 많고, 주위에 편의시설도 많습니다.  조식은 무료로 제공되는데, 토스트 정도 나올 줄 알았는데 반찬수 다양하게 여러 메뉴가 나옵니다. 대체로 만족스러운 숙박이었습니다.",4,,대구 중구 경상감영길 193,35.8720588,128.5980118,0
리버틴호텔, 2019년 7월,"대구 첫 여행을 리버틴호텔과 함께객실 수가 이렇게 적으면 모텔로  생각 할 수 있는데 이곳은 여러가지면에서 모텔과 차원이  다르다고 느꼈다.   큰 호텔 중에는 덩치만 컸지 관리가 제대로 안 되어서 투숙객하는 입장에서 불편을 함을 겪는 케이스가 빈번한 반면,  리버틴 호텔을 직접 경험하여 느낀 것은  작지만  관리가 철저하게 되고 있다는 것을 피부로 느낄 수 있었다.  조식이 무료라서 간편 조식인줄 알았는데 너무 푸짐하고 좋았다.  다음에 또 오고 싶다.",5,,대구 중구 경상감영길 193,35.8720588,128.5980118,0
리버틴호텔, 2019년 1월,"의외로 작았던 호텔, 하지만 구성은 훌륭합니다.찾아가보니 생각보다 크기가 작아서 일전에 비즈니스 호텔로 알고 출장을 갔는데 모텔이어서 당황했던 기억이 나 조금 당황했습니다. 그래도 카운터, 직원 교육, 내부 설비 등 여러모로 만족스러운 1박이었습니다. 근처가 번화가이지만 그리 시끄럽진 않았고, 오히려 간단히 근처에 마실나갈 수 있어서 좋았던 기억이네요.",4,,대구 중구 경상감영길 193,35.8720588,128.5980118,0
리버틴호텔, 2018년 10월,아주 만족스러운 숙박늦게 일어나서 조식은 못먹었지만 룸컨디션이 굉장히 좋았고 모든게 깔끔하게 정리되어있어요. 스타일러가 있어서 너무 완벽했구요 ㅠㅠ 스타일러 안에 가운이 들어가있어서 가운 입었을때도 뽀송한 기분이 들고 외투를 스타일러에 넣어 돌리고 다음날 입으니 하루가 산뜻한 느낌이였습니다 ㅎㅎ 직원분들이 굉장히 친절하셨어요!!,5,,대구 중구 경상감영길 193,35.8720588,128.5980118,0
리버틴호텔, 2018년 3월,무난한호텔입니다대구시내에 위치한 비지니스호텔입니다. 주차장이작아서 아쉽지만 객실이넓고 저렴해서 좋았습니다. 무료와이파이 이용가능합니다.,4,,대구 중구 경상감영길 193,35.8720588,128.5980118,0
부띠끄호텔 2월 동성로점, 2019년 11월,"매우 편안한 객실독특하게 디자인 된이 부티크 호텔에서 재미있는 경험을하세요. 우리의 디럭스 룸은 매우 현대적인 편의 시설, 스마트 조명, 비데, 레인 샤워기 및 욕조가있는 플러싱 화장실, 오페라의 유령 (Phantom of the Opera)에서 바로 화려한 샹들리에로 꾸며진 절충주의 스타일, 2 개의 '안장'의자 및 난방이있는 강철 침대를 갖추고 있습니다. 사실 한국에서와 마찬가지로 난방은 바닥에서 온 것입니다. 안내 원은 영어를 구사하며 친절하고 친절하며 항상 웃고 도움을줍니다. 유일한 이상한 점은 두 사람이 머무는 동안에도 큰 목욕 타올을 하나만 얻는다는 것입니다. 청소는 깨끗하지 않습니다. 시 쓰루 냉장고와 충전 지점을 좋아하십시오. 호텔은 또한 밤에는 매우 활기차고 좋은 바베큐 식당으로 둘러싸여 있습니다. 밤에는 약간 시끄럽지 만 높은 층에 있으면 문제가되지 않습니다. 바로 아래층에 편의점이 있으며 모퉁이를 돌면 Bapwich가 아침 식사를 제공합니다. 우리는 아침 식사로 방을 예약하지 않았으므로 그것에 대해 언급 할 수 없습니다. 전반적으로, 환영 서비스를 갖춘 특별히 설계된 호텔에서 사랑스러운 숙박.",5,,대구 중구 중앙대로 81길 16,35.8698027,128.5927659,1
부띠끄호텔 2월 동성로점, 2019년 10월,"아주 좋은 놀라움예상보다 낫습니다. 아이와 함께 여행하면서 우리는 스위트 룸에서 즐겁게 지 냈습니다. 멋지게 꾸며진 편안한 침대, 넓은 욕실 및 좋은 액세서리 (Tromm Styler와 같은) 우리는 더 오래 머물렀을 것입니다! 우리는 지하실에 차를 주차했으며 그 지역에는 레스토랑과 바가 가득합니다. 가격이 좋았습니다. 내가 말할 수있는 유일한 것은 무료 아침 식사가 그렇게되었지만 무료였습니다. . . 불평하기가 어렵습니다.",5,,대구 중구 중앙대로 81길 16,35.8698027,128.5927659,1
부띠끄호텔 2월 동성로점, 2018년 5월,"CP Henry와 관련된 일거리는 좋지 않습니다.대구 국제 공항에 도착했을 때 - Google지도에서 인쇄 한 지시 사항은 쓸모가 없었습니다. 다행히도 택시 기사가 택시에서 나를 추방하기보다는 택시 운전사가 호텔을 호출하여 택시에서 나를 차버렸습니다. 나는 일요일 아침에 체크인 (비행 등)하기 약 7 시간 전에 대구에 도착했고, 그들이 나를 위해 이용 가능한 방을 가지고 있기를 바랐다 (비록 내가 일찍부터 매우 빨랐다). ALAS 그들은 그렇지 않았습니다. 토요일 밤은 완전히 예약되었고 적어도 오후 1 시까 지 정리되지 않았습니다. 대구 시내를 산책하다가 수하물을 들겠다는 제안 - 진실을 말함 - 나는 비참하게 지쳤다. 대구가 싫어. 내가 떠나면 길을 찾을 수 있을지 모르겠다. 내가 샤워하고 낮잠을 자고 다음날 일할 준비를 할 수 있도록 방을 원했습니다. 나는 그들에게 로비에 앉아서 행복하게 지킬 수 있는지 물어 보았다. 나에게 차 한 잔을 가져다 주었다. 그들은 달콤하고 친절했습니다.이 부티크 호텔은 사랑 모텔로 사용되었지만 가격에 대해서는 전혀 흥분하지 않았습니다. 나의 행복한 놀람에 - 짧은 2 후. 5 시간의 기다림 (정직하게, 나는 더 오랫동안 그것을 기대했다) 그들은 그들이 나를 위해 이용 가능한 방을 가지고있다라고 나에게 이야기했다. 방은 깨끗했고 장식은 웹 사이트의 그림에 표시된 것과 같습니다. 방은 흡연실 이었기 때문에 담배 냄새가 났지만, 그들이 필요 이상의 것보다 일찍 나를 방으로 데려 가기 위해 많은 노력을 기울 였기 때문에 불평하지 않았습니다. 방에는 빠른 인터넷, 무료 물, 무료 세면 도구, 깨끗한 수건, 신선한",3,,대구 중구 중앙대로 81길 16,35.8698027,128.5927659,1
부띠끄호텔 2월 동성로점, 2018년 4월,대구의 훌륭한 위치에 환상적으로 디자인 된 객실2 월 호텔 동성로에서 그룹 예약을했고 환상적인 숙박을 받았다. 객실은 꼼꼼하게 세워져 있으며 각 층마다 독특하게 디자인 된 객실을 제공합니다. 우리 가족과 친구들은 객실을보기 위해 똑같이 흥분했고 잊지 못할 숙박을했습니다. 의사 소통에 어려움이 있었음에도 불구하고 호텔 직원이 도움을주고 도움을주기 위해 최선을 다했습니다. 호텔 위치는 대구의 쇼핑가에 있으며 호텔 바로 아래에는 수많은 레스토랑이 있습니다. 당신은 결코 배가 고프지 않고 친구와 함께 즐거운 밤을 보낸 후 쉽게 호텔로 돌아올 수 있습니다. 지하철역도 호텔 바로 옆에있어 호텔을 대중 교통으로 쉽게 찾을 수 있습니다. 아침 식사의 다양성은 매우 제한적이지만 음식의 질은 좋으며 가정식 요리를 느낄 수 있습니다. 그럼에도 호텔 주변에는 다른 아침 식사 방법이 많이 있습니다. 전반적으로 대구에 꼭 추천하는 호텔!,5,,대구 중구 중앙대로 81길 16,35.8698027,128.5927659,1
그랜드 호텔, 2019년 1월,대구2호선 범어역근처 그랜드호텔오래된 호텔~ 지하철역과 가까워 교통편은 좋지만 낡은느낌의 그랜드 호텔... 세면도구와 수건은 제공되나 칫솔치약은 개인적으로 챙겨가야 합니다. 호텔 바로 옆 편의점이 있어서 좋고 조식은 그냥 아주 기본입니다,3,,대구 수성구 동대구로 305,35.8577321,128.6251586,0
