address,category,date,is_foreigner,lat,lng,name,reviews,stars
대구 달서구 두류공원로 200,, 2020년 5월,0,128.5634167,35.8540248,83 타워,"대구 야경보기 좋은 곳대구에 살지만 가까이 있어 다 안가게 되던 곳인데 코로나로 인해 다른 지역 가지 못 해 방문. 전망대엔 1인 만원의 입장료가 있지만 가격 대비 괜찮음. 식당, 카페도 있지만 안전을 위해 패스. 대구 오면 야경 보러 꼭 오길 추천.",5.0
대구 달서구 두류공원로 200,, 2019년 11월,0,128.5634167,35.8540248,83 타워,83타워이월드와 더불어 83타워도 좋았습니다. 특히 밤에 가면 야경이 진짜 멋있습니다. 진짜 전망대 야경이 환상적이고 아름다워서 좋았습니다.,5.0
대구 달서구 두류공원로 200,, 2019년 5월,0,128.5634167,35.8540248,83 타워,대구의 남산타워생각보다 경치가 좋습니다. 야경 보러 가기 좋아요. 근처에 벚꽃도 예쁘게 피고 관등축제도 5월에 하니까 한 번 쯤 가보는 걸 추천.,4.0
대구 달서구 두류공원로 200,, 2019년 5월,0,128.5634167,35.8540248,83 타워,"대구의 랜드마크. 걸어서 가면 언덕길이 엄청 경사짐. 이랜드 입장 티켓 하우스 직원, 83타워 전망대 티켓 박스 직원 응대가 그리 친절하지는 않음.  전망대 자체는 그럭저럭 볼만하나, 퇴실 경로를 거지 같이 만들어 놓음.    그냥 한번쯤 생각없이 갈만한곳이나 두번은 가기 싫은곳.   타임캡슐 우체통에 넣을 우편물을 위해서는, 필요한 정보의 모든 항목(주소 우편번호 받는사람 보내는 날짜 등)을 기입 할 수 있는 양식 폼 스티커를 만들어서 필요한 사람은 편지지에 붙여서 사용 할 수 있도록 해 주면 좋겠음. ",3.0
대구 달서구 두류공원로 200,, 2018년 11월,0,128.5634167,35.8540248,83 타워,리뉴얼리뉴얼 되고 나서는 괜찮더라구요 특히나 꼭대기층에서 친구랑같이 디저트 먹는 에프터눈 티세트 해보았는데 고급? 스런 느낌나고 좋았어요,4.0
대구 남구 앞산순환로 574-116,, 2020년 7월,0,128.5890545,35.8289965,앞산공원,전망이 짱좋아요밤에 앞산공원 야경보러 갔는데 대구 시내도 다보이고 정말 이쁘네요. 대구 놀러오시면 꼭 가보세요. 밤에 가는 걸 추천 드려요.,5.0
대구 남구 앞산순환로 574-116,, 2020년 2월,0,128.5890545,35.8289965,앞산공원,아침 식사 및 산책주변에 카페 식당 등이 경치 좋은곳에 위치 하고 순환 도로랑 연결되어 있어 접근성도 좋음. 앞산은 공원화 되어 있고 해서 한나절 보내기 좋은곳임,3.0
대구 남구 앞산순환로 574-116,, 2018년 12월,0,128.5890545,35.8289965,앞산공원,"앞산 전망대 좋습니다.앞산 전망대에 올라갈 수 있으며, 날씨 좋을때 올라가면 뷰가 좋아서 사진찍기좋습니다. 야경 구경하기에도 좋습니다. 가벼운 산책,등산하기도 좋습니다.",5.0
대구 남구 앞산순환로 574-116,, 2019년 6월,0,128.5890545,35.8289965,앞산공원,"야경도 보고 편지도 쓰고느린우체통 설치 잘한거 같습니다.  연인, 친구, 가족 간에 의미를 담은 편지도 쓰고 아이디어 gooood 입니다.  저도 아내와 아이들에게 엽서를 적어 보냈는데....  엽서가 기다려지네요.",5.0
대구 남구 앞산순환로 574-116,, 2018년 4월,0,128.5890545,35.8289965,앞산공원,외국 손님 관광을 위해.날씨가 좋은날 저녁에 올라가서 야경이나 일몰을  보면 좋음. 케이블카가 야경을 보고 내려올 수 있도록 운행함. 동절기 하절기 운행 시간이 달라 확인 해 보고 갈 것을 권유함.,5.0
"대구 Dohak-dong,Dong-gu",, 2020년 6월,0,128.7138793,35.9892801,동화사,세계 최대석불이 있는 곳종교가 불교는 아니지만 팔공산에 가서 코로나 때문에 사람이 별로 없는 곳을 찾아보다 방문. 어릴 적 추억을 곱씹으면서 아이와 간단한 등산하기에 좋음. 불교에 대해 무지하지만 거대한 통일불을 보면 웅장함이 느껴짐. 대구로 여행을 온다면 꼭 들려보기를 추천!!,4.0
"대구 Dohak-dong,Dong-gu",, 2019년 6월,0,128.7138793,35.9892801,동화사,최고 대구 명소중 하나입장료는 2500원이고 버스타고 동화사역에서 내려 좀 들어가면 매표소가 있다. 첫번째로 나의 이목을 끌었던것은 입장권을 구입하고 큰문을 들어서자 마자 펼쳐지는 풍경이었다 양쪽으로 산이 자리하고 있으며 왼쪽에는 좀 큰 연못이 있으며 한 가운데에 연꽃 장식이 배치되어 있다. 또한 뒤쪽에는 스님들의 무덤이 약 10개 정도가 있는데 이 모든것이 주변의 자연 풍경과 어우러져 매우 수려했으며 마치 무릉도원에 들어온것 같았으며 매표소 와는 전혀 다른 세계 같았다. 우측으로는 동화사가 자리하고 있고 좌측으로는,5.0
"대구 Dohak-dong,Dong-gu",, 2019년 5월,0,128.7138793,35.9892801,동화사,시끌벅적한 절.규모가 큰 건 둘째 치고 상당히 시끄러웠던 절. 사람이 정말 많습니다. 그리고 스님이 기타치고 버스킹 공연하는 건 나름 문화충격.,4.0
"대구 Dohak-dong,Dong-gu",, 2019년 1월,0,128.7138793,35.9892801,동화사,"역사와 전통이 느껴지는 곳팔공산에 위치한 동화사는 인근에 시민안전테마파트와 케이블카를 타고 올라가면 대구 전경을 볼 수 있는 하늘정원이 있어 사시사철 연인, 가족과 함께 갈 수 있는 여행지다",5.0
"대구 Dohak-dong,Dong-gu",, 2018년 10월,0,128.7138793,35.9892801,동화사,매우 큰 절팔공산에 위치한 매우 큰 절로 산책하기 좋은 곳입니다. 그러나 건물에서 역사적인 느낌을 받기는 어렵습니다. 항상 사람이 많습니다.,4.0
대구 달성군 다사읍 강정본길 57,, 2020년 5월,0,128.4683413,35.8385261,디아크,"자전거, 퀵보드 타기 좋은 곳집에서 멀지만 바람쐬러 드라이브하러 간 곳. 야외이다 보니까 많은 사람들이 놀러옴. 디아크에 들어가서 둘러 보면 좋겠지만 실내라서 다음을 기약. 자전거, 퀵보드 타기 좋지만 왕발통 조심해야함.",5.0
대구 달성군 다사읍 강정본길 57,, 2019년 4월,0,128.4683413,35.8385261,디아크,강정보강정보 왕발통 타러갔어요 조심하셔야해요 안전도구 착용하시고  요즘 왕발통 퀵보드 많아서 재미있고 즐길수있지만 항상 안전도구 꼭 착용하시고 이용하시길,4.0
대구 달성군 다사읍 강정본길 57,, 2019년 3월,0,128.4683413,35.8385261,디아크,"날씨 좋은날 가족 나들이로 제격날씨 좋은 날, 가족 나들이로 제격인 곳 주말에는 주차 하기가 좀 힘들긴 하지만, 강 따라 자전거 전동휠 바이크 등 대여해서 놀기 좋다. 디아크는 건물 자체도 독특하고 아름답고, 내부에는 환경, 강 등과 관련된 전시를 하고 있어 한번쯤 둘러보기 좋다.",4.0
대구 달성군 다사읍 강정본길 57,, 2018년 5월,0,128.4683413,35.8385261,디아크,"아이들 있다면 필수코스자전거, 보드, 탈것들을 대여해줘서 아이들 놀기에 너무 좋아요. 유모차 가지고 한바퀴 돌기에도 잘 되어 있구요.  디아크 안에는 사실 크게 볼건 없어요. 그냥 밖에서 놀다가 오기 좋습니다.",5.0
대구 달성군 다사읍 강정본길 57,, 2018년 8월,0,128.4683413,35.8385261,디아크,디아크시원한 강 예쁜 야경 분지인 대구에서 속이 확 뚫리는 데이트 장소를 찾으신다면 디아크로 가보세요!ㅎㅎ 전동바이크타고 시원하게 강변을 달리면 스트레스가 확 풀립니다~!,4.0
대구 중구 달성로22길 31-12,, 2020년 7월,0,128.5845613,35.8755076,대구예술발전소,"달 사진 찍으러미술을 잘 모르지만 유명한 달 사진이 있다고 하여 방문. 체온측정, 손소독하고 들어가야 함. 여러 작품이 있긴 한데 의미를 잘 모르겠음. 한번 쯤 들릴만한 곳이고 달 사진은 프사용으로 적격임.",4.0
대구 중구 달성로22길 31-12,, 2019년 12월,0,128.5845613,35.8755076,대구예술발전소,특이한 작품이 있는 곳예술에 대해 문외한이지만 가볼만 한 곳. 이게 예술 작품인가 할 정도로 특이한 것이 많음. 소셜미디어에 많이 나오는 작품엔 사람들 많음. 한 번씩 들릴만함.,4.0
대구 중구 달성로22길 31-12,, 2018년 10월,0,128.5845613,35.8755076,대구예술발전소,달사진인스타나 페북에 달에서 사진 찍는게 많이나오길래 한번 방문해서 사진찍었습니다. 타이밍이 좋아야해요 저는 사람이 별로없을때 찍었는데 공짜다 보니 사람들이 몰리는 시간도있고  줄서서 기다려야합니다.,5.0
대구 중구 달성로22길 31-12,, 2019년 3월,0,128.5845613,35.8755076,대구예술발전소,"아이들이 좋아할 장소!젊은 예술인들 작품도보고, 차도 한잔마시고 어린이들은 놀이를 즐기며 좋은 시간을 보냈음. 수창맨션이랑 같이 둘러보기를 추천!",5.0
대구 중구 달성로22길 31-12,, 2016년 4월,0,128.5845613,35.8755076,대구예술발전소,"대구 예술 발전소예술가들을 위한 장소이면서, 시민들을 위한 문화 휴식처. 그래서 그런지 내부도 예술가들의 작품으로 인테리어가 되어 있고 문화 예술계를 위해 일한 사람들을 기리는 공간등도 마련되어 있으며, 만권당이라는 독서 프로젝트도 여기서 진행한다.",4.0
대구 동구 팔공산로185길 51,, 2019년 11월,0,128.6948362,35.9909143,팔공산케이블카,"팔공산 케이블카동화사와 더불어 팔공산에 왔으면 꼭 가봐야하는 필수 관광코스. 위에서 보는 경치가 아주 좋습니다. 다만, 의외로 대구 시내는 잘 보이지 않아서 아쉽.",5.0
