names,reviews,stars,category,date,address,lat,lng
이월드,ㅎㅎ,4,테마파크,2021.01.04,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,젛아요,5,테마파크,2021.01.04,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,ㅇ,3.5,테마파크,2021.01.03,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,애들이 좋아했네요.,5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,#이월드#83그릴#야경맛집,3,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,굿,5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,좋아요,5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,놀이기구 탑승하는곳이 얼어있으면 그쪽 기구는 못타게 안내하던지 바닥 조심하라고 주의를 주던지 아무생각없이 기구 탑승하다가 발 라당 넘어져서 기구에 정강이 부딪혀 살 다패이고 허리 삐끗하고 손목 삐끗 하고 애기들도 많던데 애기들이 넘어졌던지 머리라도 다치 면 어쩌려고 그러는지 덕분에 부산에서 놀러가서 기구3개타고 산책만하고 몸다치고 기분상하고 왓네요 그리고 홈페이지에 고객...,0.5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,놀이기구 안하는게 절반인데 돈은 왜 다 받는거임 ?,0.5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,6시인데도 손님이없어서 안하는게 많더라구요ㅜㅜ 담엔 일찍가볼게요ㅜㅜ 3개타고와서 조금 돈아깝쓰 그래두 범퍼카직원분들 친절 쓰,2.5,테마파크,2021.01.02,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,굳,5,테마파크,2021.01.01,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,놀이기구 운영하는거 절반이하입니다. 그러면서 돈은 왜 제대로받는지? 자유이용권이라면서 자유로 이용못하게해놨습니다,0.5,테마파크,2021.01.01,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,잘놀았습니다! 핫팩받을수있어요!,5,테마파크,2021.01.01,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,사람도 적당히 있어서 코로나 시국에 가기 좋아요,5,테마파크,2021.01.01,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,좋아요~~,4.5,테마파크,2021.01.01,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,눈꽃돈까스 맛있어요^^,5,테마파크,2020.12.30,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,친절,4.5,테마파크,2020.12.30,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,너무 춥고 놀이기구도 거의 안하고 너무 실망이에요,0.5,테마파크,2020.12.30,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,ㅊ,5,테마파크,2020.12.29,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,.,4,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,굿이요.,5,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,재밌게 잘 놀았습니다,5,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,"완전 재밌고, 놀이기구 무서운거 많네요ㅋㅋ 사진찍기두 넘좋아여 예쁜곳많음",4.5,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,저렴한 가격에 재밌게 잘 놀다왔어요^^ 코로나로 인해 영업시간이 단축되었지만 야간권 4-8시까지 알차게 놀았네요,5,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,재미있었어요,5,테마파크,2020.12.28,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,분위기 좋아요,5,테마파크,2020.12.27,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,굿,5,테마파크,2020.12.27,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,먹거리도 많고 탈거리도 많았어요~,5,테마파크,2020.12.27,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,코로나로사람이없어 구경하기편했어요,4,테마파크,2020.12.27,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,비오는날 대책 세워주세요. 미끄러져서 무릎 다친데 더 안좋아졌고 팔꿈치 뼈가 부러진거같아요,0.5,테마파크,2020.12.27,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,,5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,저렴한 가격에 별빛축제만 보고 와도 넘 좋네요 예쁜 곳이 넘 많아서 사진 몇백장 찍고 왔습니다,5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,만족이용 야간이라 이쁘고 분위기 짱,5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,6살데리고 처음가봤는데 직원분들 친절 하였지만 놀이기구가 멈춘게 많았네유ㅠㅠ,4,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,잘 놀다 왔네요. 가끔씩 가볼만 합니다.,4,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,사람도적고 야경너무이뻐요,4.5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,사람들이 많이 없어 편하게놀다갑니다,5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,애들이 너무좋아하네요 곧 또올꺼 같아요,5,테마파크,2020.12.26,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,좋아요,4.5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,예쁨~~^^야경 너무 좋고~~좋습니다,4.5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,이뻣어요 좋은시간보냈어요,5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,저렴하게 재밋게 잘 놀다갑니다 너무 이뻐요,5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,별빛축제 참 이뻐요,5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
이월드,ㅡ또 하나의 추억이 생겼습니다 가성비...는... 즐거운 추억 쌓고 오면 댓죠 머!,5,테마파크,2020.12.25,대구광역시 달서구 두류동 산302-11,128.565732,35.8529009
